municipality;geocode;Disease_Burden
Senador Guiomard;1200450;11194
Senador José Porfírio;1507805;11693
Senador La Rocque;2111763;804
Seringueiras;1101500;1639
Serra Nova Dourada;5107883;160
Serra do Navio;1600055;5995
Serrano do Maranhão;2111789;696
Silvanópolis;1720655;145
Silves;1304005;11379
Sinop;5107909;6951
Sorriso;5107925;3304
Soure;1507904;345
Sucupira;1720853;67
Sucupira do Norte;2111904;233
São Bento;2110500;588
São Bento do Tocantins;1720101;144
São Caetano de Odivelas;1507102;2376
São Domingos do Araguaia;1507151;2051
São Domingos do Azeitão;2110658;123
São Domingos do Capim;1507201;692
São Domingos do Maranhão;2110708;510
São Felipe D'Oeste;1101484;266
São Francisco do Brejão;2110856;145
São Francisco do Guaporé;1101492;5778
São Francisco do Pará;1507409;471
São Félix de Balsas;2110807;56
São Félix do Araguaia;5107859;199
São Félix do Tocantins;1720150;11
São Félix do Xingu;1507300;6712
São Gabriel da Cachoeira;1303809;40368
São Geraldo do Araguaia;1507458;2789
São José de Ribamar;2111201;1526
São José do Povo;5107297;45
São José do Rio Claro;5107305;973
São José do Xingu;5107354;691
São José dos Basílios;2111250;239
São José dos Quatro Marcos;5107107;303
São João Batista;2111003;15
São João da Baliza;1400506;4699
São João da Ponta;1507466;214
São João de Pirabas;1507474;3229
São João do Araguaia;1507508;549
São João do Carú;2111029;546
São João do Paraíso;2111052;105
São João do Soter;2111078;210
São Luiz;1400605;4847
São Luís;2111300;10962
São Luís Gonzaga do Maranhão;2111409;522
São Mateus do Maranhão;2111508;1312
São Miguel do Guamá;1507607;636
São Miguel do Guaporé;1100320;2543
São Miguel do Tocantins;1720200;214
São Paulo de Olivença;1303908;9028
São Pedro da Cipa;5107404;196
São Pedro da Água Branca;2111532;391
São Pedro dos Crentes;2111573;15
São Raimundo das Mangabeiras;2111607;65
São Raimundo do Doca Bezerra;2111631;216
São Roberto;2111672;155
São Salvador do Tocantins;1720259;309
São Sebastião da Boa Vista;1507706;416
São Sebastião do Tocantins;1720309;234
São Sebastião do Uatumã;1303957;17556
São Valério;1720499;38
São Vicente Ferrer;2111706;52
Sítio Novo;2111805;163
Sítio Novo do Tocantins;1720804;226
Tabaporã;5107941;932
Tabatinga;1304062;24383
